影院名称,影院专资,所属城市
宁波中影国际影城（来福士店）,33044101,宁波
UME影城（宁波天一店）,33044901,宁波
上影·宁波影都（128店）,33046101,宁波
大地影院（宁波培罗成广场店）,33045101,宁波
大地影院宁波西城店,33046601,宁波
浙影时代影城·宁波东门银泰店（原宁波时代电影大世界）,33040401,宁波
慈溪恒丰数码影院,33042301,宁波
博纳国际影城北仑IMAX店,33046001,宁波
宁波光澜星光影城,33045601,宁波
鑫亮影城,33042201,宁波
宁波SAS国际影城,33046701,宁波
宁波金逸国际影城和丰店,33043601,宁波
宁波影都（东门口店）,33040301,宁波
完美世界影城镇海店（原17.5影城）,33043501,宁波
余姚新泗门时代影院,33042801,宁波
万达影城（余姚万达广场IMAX店）,33045001,宁波
万达影城（江北万达广场IMAX店）,33042101,宁波
CGV影城（文化广场IMAX店）,33045201,宁波
中影国际影城（联盛广场中国巨幕店）,33045401,宁波
SFC上影影城（宁波店）,33041901,宁波
自由人影城（原保利亚细亚CINITY店）,33044201,宁波
CGV影城（鄞州IMAX店）,33046201,宁波
宁波横店电影城（洛兹店）,33044801,宁波
大地影院（宁波明海店）,33044701,宁波
CGV星聚汇影城（宁波北仑店）,33044401,宁波
镇海时代电影大世界,33043201,宁波
宁波民光影城,33040201,宁波
象山剧院,33041502,宁波
万达影城（鄞州万达广场IMAX店）,33041401,宁波
宁波影都（鄞州印象城CINITY店）,33044601,宁波
保利国际影城（镇海店）,33042901,宁波
宁波影都（港隆店）,33046801,宁波
象山时代金球影城,33044301,宁波
星河影城（江宁大学城店）,32012301,南京
珠影CC影城（珠江路店）,32017111,南京
中广汪海国际影城,32015101,南京
金陵工人影城（新街口店）,32010101,南京
卢米埃IMAX影城（弘阳杜比全景声激光店）,32012901,南京
大华大戏院影城（新街口影城）,32010201,南京
UME国际影城（南京1912店）,32012601,南京
金逸影城南京大观店,32012501,南京
金逸影城南京玉桥店,32015001,南京
卢米埃影城（金鹰新街口杜比全景声激光店）,32016111,南京
南京喜满客影城万谷店,32017211,南京
南京中影国际影城（河西奥体店）,32012201,南京
UME影城（南京玄武门店）,32012801,南京
